id_index,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9
1,0.000318471,0.315605096,0.239171975,0.064012739,0.156369427,0.016242038,0.044904459,0.086305732,0.000318471,0.076751592
2,0.024055416,0.00138539,0.094584383,0.820025189,0.011460957,0.000125945,0.046725441,0.00138539,0.000125945,0.000125945
3,0.019872702,0.074328147,0.108274399,0.026237624,0.101202263,0.057355021,0.014214993,7.07214E-05,7.07214E-05,0.598373409
4,0.182672323,0.041476785,0.080088664,0.042954524,0.181099247,0.064882258,0.009157212,0.176666031,0.184626752,0.036376204
5,0.00046729,0.11728972,0.15,0.304205607,0.047196262,0.070560748,0.056542056,0.005140187,0.00046729,0.248130841
6,0.005022831,0.142009132,0.137442922,0.461643836,0.164840183,0.027853881,0.059817352,0.000456621,0.000456621,0.000456621
7,0.000131406,0.39434954,0.193298292,0.025098555,0.170959264,0.067148489,0.052693824,0.015900131,0.000131406,0.080289093
8,0.034670487,0.435816619,0.043266476,0.046131805,0.13495702,0.172206304,0.000286533,0.028939828,0.000286533,0.103438395
9,0.001999009,0.02545845,0.296894102,0.053708905,0.070560053,0.032397158,0.490021477,0.008276887,0.003485875,0.017198084
10,0.005772358,0.552113821,0.098455285,0.034227642,0.178943089,0.020406504,0.038292683,0.034227642,8.13008E-05,0.037479675
11,0.001388889,0.001388889,0.2375,0.001388889,0.070833333,0.001388889,0.3625,0.001388889,0.001388889,0.320833333
12,0.000111607,0.086049107,0.34609375,0.043638393,0.078236607,0.022433036,0.076004464,0.000111607,0.028013393,0.319308036
13,0.000478469,0.459808612,0.096172249,0.053110048,0.292344498,0.000478469,0.048325359,0.000478469,0.000478469,0.048325359
14,0.088328436,0.048824682,0.129627816,0.050946784,0.125220372,0.471286321,0.020747633,0.016993144,0.000342801,0.047682011
15,0.018208955,0.409253731,0.191343284,0.030149254,0.048059701,0.042089552,0.095820896,0.000298507,0.042089552,0.122686567
