comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
1,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05
2,0.440625,0.378125,0.003125,0.003125,0.003125,0.003125,0.128125,0.003125,0.034375,0.003125
3,0.025,0.025,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025
4,0.01,0.01,0.21,0.01,0.01,0.41,0.01,0.01,0.01,0.31
5,0.004347826,0.004347826,0.004347826,0.047826087,0.873913043,0.004347826,0.004347826,0.047826087,0.004347826,0.004347826
6,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
7,0.003846154,0.003846154,0.003846154,0.003846154,0.157692308,0.003846154,0.696153846,0.003846154,0.119230769,0.003846154
8,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22
9,0.005882353,0.005882353,0.005882353,0.005882353,0.005882353,0.241176471,0.241176471,0.005882353,0.476470588,0.005882353
10,0.244827586,0.003448276,0.003448276,0.003448276,0.313793103,0.313793103,0.072413793,0.003448276,0.003448276,0.037931034
11,0.025,0.025,0.275,0.025,0.525,0.025,0.025,0.025,0.025,0.025
12,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
13,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
14,0.85,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
15,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
17,0.003225806,0.003225806,0.003225806,0.003225806,0.551612903,0.067741935,0.003225806,0.261290323,0.003225806,0.1
18,0.073333333,0.273333333,0.34,0.006666667,0.206666667,0.006666667,0.006666667,0.006666667,0.006666667,0.073333333
