comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
1,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
2,2.23E-01,3.14E-03,3.14E-03,3.14E-03,9.75E-02,3.46E-02,5.69E-01,6.60E-02
3,2.89E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,5.53E-01
4,1.02E-02,1.02E-02,3.16E-01,3.16E-01,1.02E-02,1.02E-02,1.12E-01,2.14E-01
5,4.39E-03,4.39E-03,4.39E-03,6.62E-01,4.39E-03,3.11E-01,4.39E-03,4.39E-03
6,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01,3.57E-02,3.93E-01
7,3.88E-03,3.88E-03,8.14E-02,3.88E-03,1.98E-01,3.88E-03,2.75E-01,4.30E-01
8,2.08E-02,2.29E-01,2.08E-02,2.08E-02,2.08E-02,6.46E-01,2.08E-02,2.08E-02
9,5.95E-03,5.95E-03,7.20E-01,5.95E-03,5.95E-03,5.95E-03,5.95E-03,2.44E-01
10,1.08E-01,3.47E-03,3.47E-03,4.20E-01,3.82E-02,1.08E-01,1.08E-01,2.12E-01
11,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,2.63E-02,5.53E-01
12,3.57E-02,3.93E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01
13,1.72E-02,1.72E-02,1.72E-02,1.90E-01,1.72E-02,1.72E-02,7.07E-01,1.72E-02
14,2.63E-02,2.63E-02,2.89E-01,2.63E-02,5.53E-01,2.63E-02,2.63E-02,2.63E-02
15,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01
16,3.25E-03,3.25E-03,2.95E-01,3.57E-02,3.25E-03,4.90E-01,1.66E-01,3.25E-03
17,6.76E-03,6.76E-03,2.77E-01,6.76E-03,6.76E-03,2.09E-01,4.12E-01,7.43E-02
18,1.47E-02,1.47E-02,1.47E-02,1.62E-01,1.47E-02,7.50E-01,1.47E-02,1.47E-02
19,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02,2.63E-02,2.63E-02
20,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02
21,2.63E-02,2.89E-01,2.63E-02,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.63E-02
22,8.16E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02
23,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02
24,2.08E-02,4.37E-01,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.29E-01,2.29E-01
25,1.62E-01,1.47E-02,1.47E-02,1.47E-02,1.47E-02,1.62E-01,4.56E-01,1.62E-01
26,3.73E-03,3.02E-01,4.14E-01,3.73E-03,2.65E-01,3.73E-03,3.73E-03,3.73E-03
27,1.47E-02,1.47E-02,1.47E-02,1.47E-02,1.47E-02,7.50E-01,1.62E-01,1.47E-02
28,1.47E-02,1.47E-02,1.47E-02,1.62E-01,1.47E-02,4.56E-01,3.09E-01,1.47E-02
29,5.56E-02,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
30,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02
31,3.73E-03,3.73E-03,4.89E-01,1.16E-01,4.10E-02,2.28E-01,1.16E-01,3.73E-03
32,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02,8.79E-01
33,2.89E-01,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,5.53E-01
34,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02,7.50E-01
35,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,8.16E-01,2.63E-02
36,5.62E-03,1.74E-01,6.18E-02,2.30E-01,5.62E-03,6.18E-02,6.18E-02,3.99E-01
37,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
38,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,6.11E-01,5.56E-02
39,1.47E-02,1.47E-02,4.56E-01,1.47E-02,1.47E-02,1.47E-02,4.56E-01,1.47E-02
40,2.08E-02,4.37E-01,2.08E-02,2.08E-02,2.08E-02,4.37E-01,2.08E-02,2.08E-02
41,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.29E-01,6.46E-01,2.08E-02,2.08E-02
42,1.28E-02,1.28E-02,7.82E-01,1.28E-02,1.28E-02,1.28E-02,1.41E-01,1.28E-02
43,1.25E-01,5.95E-03,1.85E-01,5.95E-03,5.95E-03,6.01E-01,6.55E-02,5.95E-03
44,5.56E-02,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
